                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 0.5258,                0.27068,                0.79626,                0.94693,                0.71569,                 0.7805,                0.59211,                0.79934,                0.39389,                0.83702,             0.00030756,             0.00030756,             0.00030756
                    117,                0.52036,                0.27131,                 0.7948,                0.83533,                0.79853,                0.78259,                 0.5951,                0.79555,                0.40276,                0.83633,             0.00030402,             0.00030402,             0.00030402
                    118,                0.51941,                0.27769,                 0.7973,                0.86067,                0.78108,                0.78773,                0.60441,                0.77487,                0.39704,                0.83384,             0.00030049,             0.00030049,             0.00030049
                    119,                0.52933,                0.27302,                0.80054,                0.95024,                 0.7142,                0.77638,                0.58952,                0.77987,                0.39154,                0.83744,             0.00029695,             0.00029695,             0.00029695
                    120,                 0.5137,                0.26671,                0.79621,                0.92872,                0.72137,                0.78334,                0.59187,                0.77706,                0.39333,                0.83645,             0.00029342,             0.00029342,             0.00029342
                    121,                0.51523,                0.27394,                0.79258,                0.86092,                 0.7862,                0.79569,                0.59199,                0.77646,                0.39414,                0.83641,             0.00028988,             0.00028988,             0.00028988
                    122,                0.51328,                0.26933,                 0.7896,                0.87582,                0.78344,                0.79287,                0.58646,                0.79194,                0.39199,                0.83755,             0.00028635,             0.00028635,             0.00028635
                    123,                0.51691,                 0.2671,                0.79442,                0.86096,                0.78185,                0.78835,                0.59256,                0.78139,                0.38962,                0.83728,             0.00028282,             0.00028282,             0.00028282
                    124,                0.49786,                0.26253,                0.79085,                 0.8359,                 0.8023,                0.79198,                0.60014,                0.79131,                0.38537,                0.83959,             0.00027928,             0.00027928,             0.00027928
                    125,                0.50999,                0.26585,                0.79232,                0.86384,                0.78616,                0.79486,                0.60878,                0.77857,                 0.3881,                0.83666,             0.00027575,             0.00027575,             0.00027575
                    126,                0.51027,                0.26941,                0.79604,                0.88695,                0.78301,                0.79737,                0.60886,                0.77627,                 0.3938,                0.83372,             0.00027221,             0.00027221,             0.00027221
