                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.47236,                0.25574,                0.78392,                0.93888,                0.72213,                0.78944,                0.58596,                0.79306,                0.39001,                0.83913,             0.00041005,             0.00041005,             0.00041005
                     88,                0.46268,                0.24794,                0.78885,                0.77401,                0.74269,                0.78097,                 0.5812,                0.79801,                0.39352,                 0.8403,             0.00040652,             0.00040652,             0.00040652
                     89,                0.48754,                0.25932,                0.78683,                0.94448,                0.74506,                0.79312,                0.58532,                0.79722,                0.39687,                0.84235,             0.00040298,             0.00040298,             0.00040298
                     90,                0.47169,                0.24721,                0.78512,                0.92386,                0.73267,                0.78925,                0.59638,                0.78933,                0.38888,                0.84208,             0.00039945,             0.00039945,             0.00039945
                     91,                0.46638,                0.24915,                0.79011,                0.95323,                0.70528,                0.77023,                0.58302,                0.80377,                0.40183,                0.84329,             0.00039591,             0.00039591,             0.00039591
                     92,                0.46845,                0.24723,                0.78471,                0.82799,                0.80394,                0.78152,                0.59641,                0.78546,                0.39593,                 0.8414,             0.00039238,             0.00039238,             0.00039238
                     93,                0.47424,                0.25005,                 0.7863,                0.82071,                0.79392,                0.79597,                0.58765,                 0.7866,                0.39366,                0.84248,             0.00038884,             0.00038884,             0.00038884
                     94,                0.47388,                0.25003,                0.78815,                0.77766,                0.81203,                0.82471,                0.59826,                 0.7988,                0.39676,                0.84414,             0.00038531,             0.00038531,             0.00038531
                     95,                0.46508,                0.24858,                0.78614,                0.92247,                0.79696,                0.83013,                0.59992,                0.78121,                0.38335,                0.84123,             0.00038178,             0.00038178,             0.00038178
                     96,                0.46166,                0.24396,                0.78785,                0.90835,                0.79706,                0.81287,                0.59223,                0.77488,                0.38213,                0.84062,             0.00037824,             0.00037824,             0.00037824
                     97,                0.46352,                0.24536,                  0.789,                0.89034,                0.75741,                0.79976,                0.58854,                0.77567,                0.38256,                0.84159,             0.00037471,             0.00037471,             0.00037471
                     98,                0.47299,                0.24553,                0.78719,                0.84873,                0.81988,                0.80616,                0.59952,                0.77746,                0.39249,                 0.8374,             0.00037117,             0.00037117,             0.00037117
                     99,                0.47859,                0.24726,                0.78862,                 0.8677,                0.75456,                 0.7982,                0.60113,                0.76848,                0.38393,                0.83541,             0.00036764,             0.00036764,             0.00036764
                    100,                0.46103,                0.24558,                0.78765,                0.93236,                0.73769,                0.78616,                0.58347,                 0.7848,                0.39844,                 0.8404,              0.0003641,              0.0003641,              0.0003641
                    101,                0.46846,                0.24331,                0.78898,                0.79931,                0.79588,                0.79491,                0.59267,                0.78604,                0.39953,                0.84002,             0.00036057,             0.00036057,             0.00036057
                    102,                0.47134,                 0.2558,                0.78966,                0.81055,                0.80226,                0.79824,                0.59932,                0.79559,                0.40205,                0.84375,             0.00035704,             0.00035704,             0.00035704
                    103,                0.44603,                0.24205,                0.78592,                0.84271,                0.75644,                0.78464,                 0.6021,                0.79011,                0.39991,                0.84215,              0.0003535,              0.0003535,              0.0003535
                    104,                0.44225,                0.24201,                0.78028,                0.83143,                0.75861,                0.78764,                0.60584,                0.79753,                0.39204,                0.84365,             0.00034997,             0.00034997,             0.00034997
                    105,                0.45965,                0.24399,                0.78878,                0.90721,                0.74795,                 0.7875,                0.60148,                0.79411,                0.39061,                0.84106,             0.00034643,             0.00034643,             0.00034643
                    106,                0.46137,                0.24585,                0.78422,                0.89643,                0.73704,                0.78191,                0.59563,                0.78234,                0.38981,                0.83841,              0.0003429,              0.0003429,              0.0003429
                    107,                0.45678,                0.24151,                0.78903,                0.85767,                0.74731,                0.77978,                0.59244,                0.78361,                0.38722,                0.83898,             0.00033936,             0.00033936,             0.00033936
                    108,                0.47192,                0.24834,                 0.7921,                0.89837,                0.74237,                0.78798,                0.59552,                0.78285,                0.38903,                0.83887,             0.00033583,             0.00033583,             0.00033583
                    109,                 0.4558,                0.24302,                0.78687,                0.85364,                0.74838,                0.79224,                0.60671,                 0.7799,                0.38849,                0.83759,              0.0003323,              0.0003323,              0.0003323
                    110,                0.44718,                0.23877,                0.78166,                0.85202,                0.73933,                0.77922,                 0.5961,                0.79126,                 0.3882,                0.83887,             0.00032876,             0.00032876,             0.00032876
                    111,                0.45655,                0.24306,                0.78494,                0.87877,                0.74566,                0.78213,                 0.6049,                0.78674,                0.38205,                0.83911,             0.00032523,             0.00032523,             0.00032523
                    112,                0.44784,                0.24316,                0.79093,                0.87732,                0.74971,                 0.7914,                0.59893,                0.79458,                0.38417,                0.84048,             0.00032169,             0.00032169,             0.00032169
                    113,                0.47222,                 0.2422,                0.79231,                0.88225,                0.74499,                0.78355,                0.60139,                0.78805,                0.38323,                0.83907,             0.00031816,             0.00031816,             0.00031816
                    114,                0.45253,                0.24114,                0.78625,                0.94465,                0.73799,                 0.7886,                0.60472,                0.77297,                0.38073,                0.83757,             0.00031462,             0.00031462,             0.00031462
                    115,                0.44521,                0.23627,                 0.7888,                0.94047,                0.72846,                0.78221,                0.60093,                0.77868,                0.38999,                0.83774,             0.00031109,             0.00031109,             0.00031109
                    116,                0.46284,                 0.2427,                0.78827,                0.93856,                0.74663,                0.78699,                0.60168,                0.79086,                0.39188,                0.83898,             0.00030756,             0.00030756,             0.00030756
                    117,                0.44899,                0.23738,                 0.7858,                0.80834,                0.80389,                0.82018,                 0.6041,                0.77803,                0.39341,                0.83653,             0.00030402,             0.00030402,             0.00030402
                    118,                0.45245,                0.24573,                0.78666,                0.93631,                0.73886,                0.78419,                0.59608,                0.77708,                0.38258,                0.83636,             0.00030049,             0.00030049,             0.00030049
                    119,                 0.4562,                0.24033,                0.79282,                0.84526,                0.79841,                0.78615,                 0.5903,                0.78412,                 0.3787,                0.83746,             0.00029695,             0.00029695,             0.00029695
                    120,                0.45358,                0.23968,                0.78938,                0.91499,                0.79379,                0.79765,                0.59684,                0.77738,                0.37685,                0.83842,             0.00029342,             0.00029342,             0.00029342
                    121,                0.45181,                0.24331,                0.78445,                0.89669,                0.79851,                0.79539,                0.60004,                0.78177,                0.37742,                0.83929,             0.00028988,             0.00028988,             0.00028988
                    122,                0.44956,                   0.24,                0.78436,                0.85224,                0.80032,                0.79461,                0.59613,                0.80205,                0.38328,                0.84185,             0.00028635,             0.00028635,             0.00028635
                    123,                0.45795,                0.24139,                0.78541,                0.85856,                 0.7992,                0.79132,                0.59731,                0.79113,                0.38475,                0.83985,             0.00028282,             0.00028282,             0.00028282
                    124,                0.43325,                0.23072,                0.78808,                0.81615,                0.79892,                0.78409,                0.60053,                0.78844,                0.39522,                0.83957,             0.00027928,             0.00027928,             0.00027928
                    125,                0.44818,                0.23555,                0.78536,                0.90814,                0.79295,                0.79774,                0.60262,                0.78305,                0.39533,                0.83748,             0.00027575,             0.00027575,             0.00027575
                    126,                0.43949,                0.23574,                0.78699,                0.91757,                0.78559,                0.80223,                0.60409,                0.78374,                0.39583,                0.83756,             0.00027221,             0.00027221,             0.00027221
                    127,                0.45076,                0.23939,                0.78659,                0.86876,                0.79334,                0.78312,                0.59688,                0.78381,                0.39491,                0.83823,             0.00026868,             0.00026868,             0.00026868
                    128,                0.44514,                0.23658,                0.78814,                0.81466,                0.79365,                0.78098,                0.59389,                0.77536,                0.38601,                0.83873,             0.00026514,             0.00026514,             0.00026514
                    129,                0.45021,                0.23672,                 0.7871,                 0.8806,                0.77899,                0.79118,                0.59668,                0.78543,                 0.3874,                 0.8388,             0.00026161,             0.00026161,             0.00026161
                    130,                0.43904,                 0.2316,                 0.7872,                0.80878,                0.79693,                0.78613,                0.58488,                0.79448,                0.38767,                0.83942,             0.00025808,             0.00025808,             0.00025808
                    131,                0.45576,                0.24121,                0.78443,                0.81297,                 0.7872,                0.78245,                0.58746,                0.79311,                0.38553,                0.84125,             0.00025454,             0.00025454,             0.00025454
                    132,                0.45413,                0.23884,                0.78568,                0.85636,                0.79805,                0.78082,                0.59017,                0.77623,                0.38896,                0.83765,             0.00025101,             0.00025101,             0.00025101
                    133,                0.44635,                0.23414,                0.78636,                0.88178,                0.79177,                0.78085,                0.59469,                0.78323,                0.38094,                0.83926,             0.00024747,             0.00024747,             0.00024747
                    134,                0.43855,                0.23136,                0.78789,                0.91176,                0.77132,                0.77899,                0.59125,                0.79811,                0.38451,                0.84227,             0.00024394,             0.00024394,             0.00024394
                    135,                0.45062,                0.23891,                0.78513,                0.79849,                 0.7776,                0.77337,                0.58774,                0.79466,                0.37769,                 0.8408,              0.0002404,              0.0002404,              0.0002404
                    136,                0.45144,                0.23789,                0.78814,                0.82141,                 0.7896,                0.77464,                0.58857,                0.78468,                0.38187,                0.84007,             0.00023687,             0.00023687,             0.00023687
                    137,                0.43062,                0.23051,                0.78301,                0.88075,                0.78592,                 0.7765,                0.59734,                0.76739,                0.37925,                0.83575,             0.00023334,             0.00023334,             0.00023334
                    138,                0.44814,                0.23515,                0.78439,                0.88202,                0.77803,                0.78669,                0.59209,                0.77208,                0.38707,                0.83542,              0.0002298,              0.0002298,              0.0002298
                    139,                 0.4546,                0.23875,                0.79091,                0.86777,                0.78535,                0.78055,                 0.5938,                0.77642,                0.39091,                0.83745,             0.00022627,             0.00022627,             0.00022627
                    140,                0.44626,                0.23515,                0.78747,                0.80554,                0.79155,                0.78302,                0.58845,                0.78117,                0.38976,                0.83967,             0.00022273,             0.00022273,             0.00022273
                    141,                0.44865,                0.23628,                0.78252,                0.79193,                0.78632,                0.78051,                0.58767,                0.79285,                0.39074,                0.84061,              0.0002192,              0.0002192,              0.0002192
                    142,                0.45054,                0.23847,                0.78984,                 0.7851,                0.79098,                0.78558,                0.59966,                0.78354,                0.38588,                0.83855,             0.00021566,             0.00021566,             0.00021566
                    143,                 0.4503,                0.23476,                0.78637,                0.79695,                 0.7892,                0.79274,                0.60149,                0.78346,                0.37688,                0.83947,             0.00021213,             0.00021213,             0.00021213
                    144,                0.43468,                0.22994,                0.78151,                0.81101,                0.80616,                 0.8045,                0.60951,                0.77888,                0.38283,                0.83692,              0.0002086,              0.0002086,              0.0002086
